# Mochi general-layer control set (public PKU held-out; do not hand-edit).
# rebuilt via: gate.py --rebuild-control --holdout 400 --max 200 --seed 29
# columns: keys<TAB>gold
guqinyuyese	古琴与夜色
guanjianshibangqiangbanchangde	关键是帮腔伴唱的
yekeyishixiaoshiqunfang	也可以是小视群芳
meijiandaotamen	每见到它们
shuojuxinlihua	说句心里话
zhunbeiyongyanxunchenglayu	准备用烟熏成腊鱼
yuduyongzhumiechengkai	鱼肚用竹篾撑开
dangleibaolailinzhiji	当雷暴来临之际
nidexinzaojidaole	你的信早寄到了
lunci	论词
dangnimenxiangjiadeshike	当你们想家的时刻
huowengwengyuyu	或蓊蓊郁郁
qilinsongzi	麒麟送子
jiangxiadadao	江峡大道
suoyiduishanglaoshao	所以队上老少
woxiangnamingzizhengeshihao	我想那名字真个是好
nanwangdege	难忘的歌
rongruleziran	融入了自然
tamenshiwuxukancishipude	他们是无须看词识谱的
zaisanxiabaqu	在三峡坝区
sizhouganxiderenjiubangqiang	四周赶戏的人就帮腔
cunqianwuhou	村前屋后
zaiwomendeduiwuzhong	在我们的队伍中
bahongyeyongzaishenshangjiamei	把红叶拥在身上假寐
baidun	百吨
haiyouyizhandejuli	还有一站的距离
wopaojinyuanzili	我跑进院子里
geshengnanxianpozhan	歌声难显破绽
meiziyuchoujue	妹子与丑角
xibaitianchang	戏白天唱
sanniandeshiguangbusuanzhang	三年的时光不算长
xiziranchangdejiu	戏自然唱得久
nayinyunruqingroudeyefeng	那音韵如轻柔的夜风
wocongchenglibenhuidaoxiangxia	我从城里奔回到乡下
xijiuchanghaole	戏就唱好了
shebudebuduizhegejia	舍不得部队这个家
loufanglichuandizhe	楼房里传递着
huijizhujunrendeshenshengzhize	会记住军人的神圣职责
changsiniannagemengzhongdeta	常思念那个梦中的她
youzaiwoxinzhongdangqi	又在我心中荡起
jijingruwuhuanhuanmankai	寂静如雾缓缓漫开
buguanweilaizenyang	不管未来怎样
wojiangzuimanmanzhangkai	我将嘴慢慢张开
longguleigebuting	龙鼓擂个不停
jiangbida	蒋必达
rangrennanyiwangque	让人难以忘却
nashizhengzhijihanshiyue	那时正值饥寒时月
yinweitademeiyijugeci	因为它的每一句歌词
tuodiaohouhoudedongji	脱掉厚厚的冬季
womeimeiduojinwuli	我每每躲进屋里
xiangzhengdetiankong	象征的天空
xishihou	稀释后
youdeyefangchong	有的也放铳
yudaojiehunbujiudenonghu	遇到结婚不久的农户
laoshanglaidexianyupoukaihou	捞上来的鲜鱼剖开后
tamendegenshenrurensheng	它们的根深入人生
duiwumeidaoyijia	队伍每到一家
changxide	唱戏的
changlaichangqu	唱来唱去
tameiyouqinggewanzhuanchanmian	它没有情歌婉转缠绵
haofangyumiwuzong	豪放欲觅无踪
suirandangbingyaolikaima	虽然当兵要离开妈
henputong	很普通
erzaiwoxinzhong	而在我心中
shuojushizaihua	说句实在话
keshinifeiruqianjiawanhu	可是你飞入千家万户
zhejiao	这叫
huaichuaizheruqirusudehehu	怀揣这如泣如诉的呵护
yidaoluoshuangzhihou	一到落霜之后
duiwuladehenzhang	队伍拉得很长
pufuzaidashushenquzhishang	匍匐在大树身躯之上
yueyingqingyi	月影轻移
huanhuanyoudongyucishen	缓缓游动于瓷身
neirongwufeijigediaoziru	内容无非几个调子如
wuyinjixiangxiaoxinghu	戊寅吉祥肖形虎
chongjingdashu	崇敬大树
xiangqiniqingxideshouzhi	响起你清晰的手指
zaiwodejiyizhong	在我的记忆中
woyexiangjia	我也想家
wuwanlonghou	舞完龙后
huoshouxueqiaobaweiranwuli	或瘦削峭拔巍然兀立
likaijia	离开家
chengweishengdongdeliti	成为生动的立体
fangfuzijiyerongrulelishi	仿佛自己也融入了历史
